Title;Course_code;Credits;Period;Course_Level;Faculty;Course_Coordinator;Examiner;Teaching_Staff;Target_Audiences;Entry_Requirements;Course_Content;URL;;;;;;;;;
Basic Models of Biological Networks;X_418154;6 EC;P4;500;English;Faculty of Science;prof. dr. F.J. Bruggeman;prof. dr. F.J. Bruggeman;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/X_418154;;;;;;;;;
Basics of Epidemiology and Statistics;P_MBEPST;6 EC;P1;500;English;Faculty of Behavioural and Movement Sc.;prof. dr. A.C. Huizink;prof. dr. A.C. Huizink;;There are no entry requirements for this course, although we expect students that have had basic statistical training on a bachelor level. Students with little prior knowledge of statistics and data analysis in SPSS are strongly advised to prepare for the course using the preparation materials provided on canvas.  Students are encouraged to contact the course coordinator if they have any concerns.;Epidemiological research is fundamental for our knowledge on the aetiology, diagnostics, prognosis, prevention, and treatment of mental disorders in children, adolescents and adults. In this course, students will practice basic statistical skills in conducting epidemiological research and you will learn to evaluate the quality of epidemiological research from other researchers. We will also focus on the principles and criteria for causality, internal and external validity, different types of errors, confounding, and effect modification. Furthermore, we will teach students the specific methods of conducting prospective research in developmental and clinical psychopathology.;https://studiegids.vu.nl/en/courses/2024-2025/P_MBEPST;;;;;;;;;
Basics of Oral Implantology;T_2IBIMPL;6 EC;Ac. Year (September);500;English;ACTA;drs. J.H.P. Cosse;drs. J.H.P. Cosse;;To participate in this course, the student must have taken the course principles of implantology.;;https://studiegids.vu.nl/en/courses/2024-2025/T_2IBIMPL;;;;;;;;;
Basics of Systems Biology;X_HP0078;3 EC;Ac. Year (September);300;English;Faculty of Science;dr. M. Gralka;dr. M. Gralka;;XB_0078;The students will receive a biological system to analyze independently. They will acquire background knowledge about this system from the literature, formulate appropriate models for the system components, and then analyze this model. This procedure corresponds to the basic operating procedure in systems biological research.;https://studiegids.vu.nl/en/courses/2024-2025/X_HP0078;;;;;;;;;
Basics of Systems Biology;XB_0078;3 EC;P1;300;English;Faculty of Science;dr. M. Gralka;dr. M. Gralka;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/XB_0078;;;;;;;;;
Basin Tectonics and Subsurface Resources;AM_1298;6 EC;P1;400;English;Faculty of Science;dr. A. Beniest;dr. A. Beniest;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;This course consists of two parts:;https://studiegids.vu.nl/en/courses/2024-2025/AM_1298;;;;;;;;;
Elementary Greek 1;L_AABAOHW104;6 EC;P1;100;Dutch;Faculty of Humanities;dr. M.P. de Bakker;dr. B.M.R. Verhelst;Extra curricular course for VU students;NA;Cursus Grieks voor iedereen. Van Alfa tot Xenophon in 24 lessen t/m les 12 (morfologie: alle declinaties, conjugaties van de praesensstam en de aoristusstam (activum en medium), syntaxis van o.a. het participium en de infinitivus; vocabulaire, originele Griekse teksten en oefeningen).;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAOHW104;;;;;;;;
Elementary Greek 2;L_AABAOHW108;6 EC;P2;100;Dutch;Faculty of Humanities;dr. M. Buijs;dr. M. Buijs;Extra curricular course for VU students;NA;Cursus Grieks voor iedereen. Van Alfa tot Xenophon in 24 lessen t/m les 24.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAOHW108;;;;;;;;;
Elementary Latin 1;L_AABAOHW105;6 EC;P4;100;Dutch;Faculty of Humanities;prof. dr. C.H.M. Kroon;prof. dr. C.H.M. Kroon;Extra curricular course for VU students;NA;De Basiscursus Latijn 1 biedt een gedegen kennismaking met de Latijnse grammatica en woordenschat aan de hand van het boekLatinitas, les 1-7. De student leert een woordenlijst (Latijn-Nederlands) uit het hoofd en oefent met het vertalen van Latijnse zinnen. Daarbij worden syntactische en morfologische kenmerken van de Latijnse taal stapsgewijs behandeld en geoefend tijdens college. De nieuwe stof wordt in zelfstudie herhaald en toegepast. Ook wordt er tijdens college ingegaan op Latijnse bronnen en de toegevoegde waarde van het zelfstandig kunnen vertalen van deze teksten.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAOHW105;;;;;;;;;
Elementary Latin 2;L_AABAOHW109;6 EC;P5;100;Dutch;Faculty of Humanities;dr. R. Risselada;;Extra curricular course for VU students;Basiscursus Latijn 1 moet zijn gevolgd (of de student moet op een andere manier vergelijkbaar niveau beheersen; te toetsen door docent);NA;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAOHW109;;;;;;;;
Introductory Practical Course Pharmaceutical Sciences;X_430561;3 EC;P2;100;Dutch;Faculty of Science;dr. O.P.J. van Linden;dr. O.P.J. van Linden;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/X_430561;;;;;;;;;
Basistheorie: Hoe leerlingen leren;P_MBASISTH;6 EC;P1;500;Dutch;Faculty of Behavioural and Movement Sc.;ing. C.M. van Dorresteijn MSc;dr. A.G.M. de Bruijn;;NA;Bij het vak basistheorie leer je de belangrijkste theorieën over het leren en de ontwikkeling van leerlingen. Het vak wordt ingestoken vanuit de vraag hoe leerlingen leren en ontwikkelen en hoe je het onderwijs het beste daarop laat aansluiten. Je leert wat de belangrijkste inzichten zijn uit leertheorieën in relatie tot de pedagogische en didactische vormgeving van het primair onderwijs. Tevens leer je de belangrijkste ontwikkelingspsychologische concepten en ontwikkelingsstoornissen bij kinderen in de basisschoolleeftijd, en wordt er ingegaan op de belangrijke rol die omgeving hierbij speelt. Je leert om deze theorieën, concepten en stoornissen te herkennen in en toe te passen op casussen uit de onderwijspraktijk.;https://studiegids.vu.nl/en/courses/2024-2025/P_MBASISTH;;;;;;;;;
Bayesian Econometrics for Business and Economics;E_MFAE_BEBE;6 EC;P2;300;English;School of Business and Economics;dr. L.F. Hoogerheide;dr. L.F. Hoogerheide;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;This course will cover Bayesian statistics where the topics include the prior and posterior density, Bayesian hypothesis testing, Bayesian prediction, and Bayesian Model Averaging for forecast combination. Several models will be considered, including the Bernoulli/binomial distribution, the Poisson distribution and the normal distribution. Obviously, attention will be paid to the Bayesian analysis of linear regression models. Also simple time series models will be considered. An important part of the course is the treatment of simulation-based methods such as Markov chain Monte Carlo (Gibbs sampling, data augmentation, Metropolis-Hastings method) and Importance Sampling, that are often needed to compute Bayesian estimates and predictions and to perform Bayesian tests.;https://studiegids.vu.nl/en/courses/2024-2025/E_MFAE_BEBE;;;;;;;;;
Business Economics I;R_BedrEcI;6 EC;P2;300;Dutch;Faculty of Law;mr. drs. P.R. de Geus;mr. drs. P.R. de Geus;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/R_BedrEcI;;;;;;;;;
Business Economics II;R_BedrEcII;3 EC;P3;300;Dutch;Faculty of Law;mr. drs. P.R. de Geus;mr. drs. P.R. de Geus;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/R_BedrEcII;;;;;;;;;
Bedrijfseconomie voor Accounting and Control Research;EPG_A_BACR;6 EC;P1+2, P4+5;0;Dutch;School of Business and Economics;drs. S. den Harder RA;prof. dr. O.C. van Leeuwen;;NA;The course starts with the discussion of the basic concepts of the financial management. The course builds on these concepts to introduce students with more complex topics and related quantitative techniques. The key topics discussed in this course include: the features and role of financial markets and financial institutions in the business world, the cost of money, the time value of money, forms of securities and their valuation, types of risk faced by investors and their effect on the required rate of return, cost of capital, capital structure, capital budgeting techniques and determinants of dividend policy.;https://studiegids.vu.nl/en/courses/2024-2025/EPG_A_BACR;;;;;;;;;
Business Processes;E_BK1_BPROC;6 EC;P1;100;Dutch;School of Business and Economics;dr. P.L.J. Wissink;dr. P.L.J. Wissink;Secondary subject for non-VU students;NA;Bij het aanschaffen van een product of een dienst heeft een klant nooit alleen invloed op de afdeling Verkoop. Het proces van aankoop tot levering aan een klant raakt een verscheidenheid aan afdelingen. Een bedrijf bestaat uit veel van dit soort processen, niet alleen verkoop maar ook bijvoorbeeld het aannemen van mensen of de betaling van facturen. In het vak Bedrijfsprocessen leer je hoe je deze bedrijfsprocessen analyseert en op een gestructureerde wijze herontwerpt.;https://studiegids.vu.nl/en/courses/2024-2025/E_BK1_BPROC;;;;;;;;;
Bedrijfsrecht;E_BK2_BREC;6 EC;P3;200;Dutch;School of Business and Economics;mr. P.G. Vertin;mr. P.G. Vertin;Secondary subject for non-VU students;NA;Bedrijfsrecht is een veelzijdig en dynamisch vak en heeft betrekking op vrijwel alle aspecten waar je als manager/medewerker binnen een onderneming mee te maken krijgt.;https://studiegids.vu.nl/en/courses/2024-2025/E_BK2_BREC;;;;;;;;;
Work Placement Communication and Information Studies, Specialization Translation;L_EAMACIWSTA;12 EC;Ac. Year (September);400;Dutch;Faculty of Humanities;dr. M.J. van den Haak;dr. M.J. van den Haak;Extra curricular course for VU students;Studenten mogen pas aan hun stage beginnen indien ze 18 ects aan vertaalvakken (waaronder in ieder geval Vertalen Engels-Nederlands 1 en Introduction to Translation studies) hebben afgerond.;Een stage bij een vertaalbureau of vertaalafdeling van een bedrijf van minimaal 336 uur (inclusief het schrijven van het stageverslag). Om je voor te bereiden op het zoeken naar een stage wordt in de loop van het eerste semester een stagevoorlichting gegeven. Verder is het van belang om de stagevoorwaarden van de faculteit goed door te nemen zodat je de juiste stappen doorloopt om je stage op tijd goedgekeurd te krijgen.;https://studiegids.vu.nl/en/courses/2024-2025/L_EAMACIWSTA;;;;;;;;;
Introduction to Administrative Law;R_Beg.best.r;6 EC;P2;100;Dutch;Faculty of Law;prof. mr. P.J. Huisman;prof. mr. P.J. Huisman;;NA;College 1: Introductie, het systeem van de Awb;;https://studiegids.vu.nl/en/courses/2024-2025/R_Beg.best.r;;;;;;;;
Introduction to European Law;R_Beg.Eur.r;6 EC;P5;100;Dutch;Faculty of Law;mr. dr. D. Kramer;mr. dr. D. Kramer;;Voor toegang tot de werkgroep is vereist:;Na het volgen van dit vak zullen studenten over basiskennis beschikken ten aanzien van de volgende onderwerpen:;https://studiegids.vu.nl/en/courses/2024-2025/R_Beg.Eur.r;;;;;;;;;
Introduction to Constitutional Law;R_BegSta;6 EC;P1;100;Dutch;Faculty of Law;dr. mr. B. Aarrass;dr. mr. B. Aarrass;;NA;Vanuit het perspectief van de democratische rechtsstaat komen aan de;https://studiegids.vu.nl/en/courses/2024-2025/R_BegSta;;;;;;;;;
Introduction to Criminal Law;R_BegstrR;6 EC;P2;100;Dutch;Faculty of Law;mr. R.J.J. Bouman;mr. R.J.J. Bouman;;Voor toegang tot de werkgroep is vereist:;In dit vak staat de volgende vraag centraal: Wat zijn de fundamentele beginselen van het straf(proces)recht?;https://studiegids.vu.nl/en/courses/2024-2025/R_BegstrR;;;;;;;;;
Behavioral Finance;E_FIN_BF;6 EC;P4;400;English;School of Business and Economics;prof. dr. M.J. van den Assem;prof. dr. M.J. van den Assem;Secondary subject for non-VU students, Part of an Exchange Programme;NA;Understanding your own financial decision processes and those of others is fundamental to virtually every area of finance. Finance courses and textbooks mostly tell us how we should make financial decisions. This course asks how we actually do make financial decisions, using insights from psychology and behavioral economics. It repeatedly contrasts decision making behavior with rational norms and explains why people deviate systematically from these norms, with special attention for the behavior of investors and corporate financial managers. The course also discusses the concepts of market efficiency and speculative bubbles.;https://studiegids.vu.nl/en/courses/2024-2025/E_FIN_BF;;;;;;;;;
Behavioral Finance and Real Estate;E_MFRE_BFRE;6 EC;P2;300;English;School of Business and Economics;prof. dr. M.J. van den Assem;prof. dr. M.J. van den Assem;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;This course provides a behavioral perspective on real estate decision making and markets. In particular, students learn how behavioral biases affect the decisions of participants in real estate markets, and how the bounded rationality of market participants can explain real estate market dynamics. The course starts with a general introduction into the psychology of decision making. Next, it turns to the topics of property valuation, negotiation, and mortgage choice. The final part considers the efficiency and dynamics of real estate markets, with a special focus on bubbles and crashes.;https://studiegids.vu.nl/en/courses/2024-2025/E_MFRE_BFRE;;;;;;;;;
